name,docks,bikeable_infrastructure,trips,lat,lon,trips_per_dock,nearest_dining_hall_m,nearest_amenity_m,nearest_park_m,count_amenities_275m,avg_dist_3_amenities_m,park_area_within_275m,park_area_within_550m,age,income,population,undergrad,grad,undergrad_percentage,grad_percentage,north_campus_area_within_275m,north_campus_area_within_550m,west_campus_area_within_275m,west_campus_area_within_550m,west_campus_area_within_825m,distance_to_ut_m,distance_to_west_campus_m,jobs_count_within_275m,jobs_count_within_550m,nearest_retail_m,count_retail_275m,count_retail_550m,avg_dist_3_retail_m
e_5th_broadway,15,3.0,3593,30.256297,-97.710115,239.53333333333333,3923.543065137528,144.06988343403395,459.2506189833703,3,160.488402108433,0.0,1881.8442156618785,35.0,68913.0,1763.0,0.0,54.0,0.0,0.0306296086216676,0.0,0.0,0.0,0.0,0.0,2924.5500882285114,3970.068510623222,7,25,46.95769765679017,5,38,110.94315261107491
e_6th_chalmers,11,2.0,2411,30.262684,-97.724284,219.1818181818182,2559.9313872323755,117.57982719376903,343.2484806586985,6,158.99036404771925,0.0,23561.62401951549,35.5,80250.0,1920.0,29.0,27.0,0.0151041666666666,0.0140625,0.0,0.0,0.0,0.0,0.0,1525.5144032603475,2534.296672244426,6,33,13.207312343986118,50,81,23.729966167643454
e_6th_chicon,11,2.0,1888,30.26125588077636,-97.72132623864783,171.63636363636363,2839.102043965648,50.97904567093549,233.2739080845465,3,155.8564677042569,5372.320549489454,24271.12714097663,35.0,68913.0,1763.0,0.0,54.0,0.0,0.0306296086216676,0.0,0.0,0.0,0.0,0.0,1807.9247612713043,2833.4735376887274,6,33,26.598400197253014,20,64,42.991916738144454
e_6th_medina,11,4.0,6294,30.264582,-97.73165,572.1818181818181,2107.52333526404,52.60900320683158,413.3991927517028,10,85.13590093883364,0.0,10889.479196082702,35.5,80250.0,1920.0,29.0,27.0,0.0151041666666666,0.0140625,0.0,0.0,0.0,0.0,0.0,1134.8022232117935,1996.2903295673616,18,51,8.889191496066495,38,88,30.070395941683458
e_6th_pedernales,11,2.0,3797,30.258999,-97.714794,345.1818181818182,3405.4744056696254,158.71729396756754,355.29305190094726,1,260.3660011447163,0.0,45775.269515313965,35.0,68913.0,1763.0,0.0,54.0,0.0,0.0306296086216676,0.0,0.0,0.0,0.0,0.0,2395.9152014121914,3439.338059591222,7,34,29.353351526947474,8,36,53.09217886176473
e_8th_lavaca,7,2.0,1509,30.270522,-97.744618,215.57142857142856,1576.9962097254645,76.97399048146696,175.41017016250996,3,173.6880787798452,6629.209945258271,15347.134506828965,37.1,130194.0,717.0,12.0,12.0,0.0167364016736401,0.0167364016736401,0.0,0.0,0.0,0.0,0.0,964.7711914969972,1259.0896407540054,19,62,133.84810963646953,14,152,157.40355465714123
e_8th_red_river,11,2.0,2056,30.26855,-97.736492,186.9090909090909,1607.3412330868475,72.01417008808527,90.55880721344296,7,109.85756407299873,5101.335443123479,35106.00143631192,45.2,114115.0,906.0,60.0,0.0,0.0662251655629139,0.0,0.0,0.0,0.0,0.0,0.0,798.086151038304,1430.7317782106345,14,52,16.00804500286719,54,142,20.852404394612588
electric_drive_at_pfluger_ped_bridge,19,3.0,7777,30.267064,-97.75482,409.3157894736842,2475.775868421997,47.800709692657854,1.322700979078397,8,115.94707755409247,42624.81219553599,280364.91357571475,38.0,159952.0,3126.0,0.0,32.0,0.0,0.0102367242482405,0.0,0.0,0.0,0.0,0.0,1988.762145880444,1859.8909831199207,5,23,37.326614358564896,13,71,98.19925429424357
guadalupe_west_mall_at_university_co-op,15,3.0,18674,30.285664,-97.741792,1244.9333333333334,560.269547769122,107.06772031188588,849.8285094476183,14,127.72259417283102,0.0,0.0,20.4,20509.0,2996.0,2796.0,39.0,0.9332443257676902,0.0130173564753004,0.0,0.0,128010.37809044772,488634.8263176639,865785.7430078431,10.539229273078949,0.0,9,40,24.829217852477104,26,70,27.433032148202567
hollow_creek_barton_hills,11,2.0,3047,30.261617,-97.772596,277.0,4178.483417426733,59.86391848229805,50.61195895062356,7,96.16254343604864,82733.12955177741,405916.4422566361,36.9,92763.0,1880.0,12.0,19.0,0.0063829787234042,0.0101063829787234,0.0,0.0,0.0,0.0,0.0,3711.555076340072,3141.9081328467737,2,10,236.3883211085775,2,4,274.05300178153675
lake_austin_blvd_deep_eddy,11,3.0,4057,30.278107,-97.772695,368.8181818181818,3448.3631181898645,183.00359956570813,53.38413471866708,2,286.6316473613305,35318.49343678477,131423.93783202168,29.2,37961.0,1097.0,307.0,437.0,0.2798541476754785,0.398359161349134,0.0,0.0,0.0,0.0,0.0,2983.253624838987,2051.3131253964657,7,17,36.65890248246643,7,9,40.379747838874806
lakeshore_lady_bird_ln,11,3.0,5218,30.2447276628392,-97.72285895003382,474.3636363636364,4462.115419621767,223.99453502112505,14.156626771414114,2,264.1320632441433,27421.826226097022,192658.4452441778,29.9,83694.0,1335.0,36.0,0.0,0.0269662921348314,0.0,0.0,0.0,0.0,0.0,0.0,3443.559896416798,4352.917076290964,2,9,69.36207871045514,1,14,359.4551508145395
lakeshore_pleasant_valley,15,3.0,6726,30.242667,-97.717651,448.4,4848.164468895796,188.3747857285196,8.836873829532836,6,202.362910922222,97974.57595677437,258087.5497797048,29.9,83694.0,1335.0,36.0,0.0,0.0269662921348314,0.0,0.0,0.0,0.0,0.0,0.0,3813.597124584856,4767.935494956431,0,3,361.98783718065425,0,4,408.5380064606562
nash_hernandez_east_at_rbj_south,11,4.0,6263,30.252056,-97.734532,569.3636363636364,3448.0813472263194,105.85670255129104,7.990222806419371,1,226.1373300215647,76543.35975977912,205509.69881690628,36.0,106250.0,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2537.0531643490995,3262.140582079868,3,12,259.4421603055211,1,5,325.03698575765304
one_texas_center,15,3.0,1703,30.257653,-97.74898,113.53333333333332,3051.129758454727,211.3408403448419,159.06311238248108,3,235.39805767854173,14549.49105556255,131245.1278641172,35.8,124453.0,1245.0,7.0,26.0,0.0056224899598393,0.0208835341365461,0.0,0.0,0.0,0.0,0.0,2357.6159895487344,2745.0635779369422,3,11,151.53477421012153,9,28,161.4975381363351
plaza_saltillo,15,3.0,7542,30.262116,-97.72741,502.8,2492.0044417724293,51.14922519675374,150.56527519323478,7,91.21403739310404,3929.466809238911,8771.50097090922,35.5,80250.0,1920.0,29.0,27.0,0.0151041666666666,0.0140625,0.0,0.0,0.0,0.0,0.0,1469.0536902649144,2423.418858989646,13,41,52.08475313283485,49,98,58.02552372065219
rainey_cummings,19,3.0,15205,30.255942,-97.739899,800.2631578947369,3023.495517580596,34.433029771095214,0.0,6,68.6577267981184,43957.79830491936,126397.23324458476,46.2,166721.0,2844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.0310541003537,2790.8746596379547,2,11,40.785900280028144,7,34,77.21398116814103
rainey_driskill,11,2.0,4889,30.26081,-97.738075,444.45454545454544,2470.6363078241266,87.22897822912753,170.40941526024525,9,96.89130644022632,26023.780711211177,100280.25988833194,46.2,166721.0,2844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1662.742672697093,2257.902053501012,5,26,14.177838286763832,22,56,23.029176898534537
