docks,trips_per_dock,nearest_amenity_m,nearest_park_m,count_amenities_275m,avg_dist_3_amenities_m,park_area_within_275m,park_area_within_550m,median_age,median_income,population_density,undergrad_percentage,grad_percentage,west_campus_area_within_550m,distance_to_west_campus_m,distance_to_ut_m,jobs_count_within_275m,jobs_count_within_550m,nearest_retail_m,avg_dist_3_retail_m,nearest_bikeshare_station_m,avg_dist_3_stations,bikeshare_station_count_within_275m,bikeshare_station_count_within_550m,nearest_transit_stop_distance_m,count_transit_stop_275m,count_transit_stop_550m
11,2505.454545454545,134.38635931655685,364.2576712023919,11,159.68954145275222,0.0,47279.94569431496,21.2,9000.0,0.002887962706543,0.6078212290502794,0.0279329608938547,840409.6980059016,0.0,612.6693371913204,8,37,51.62539782866053,94.57019496659598,228.2936819195309,374.9212038389639,1,2,139.88129604970808,2,7
13,2532.3076923076924,52.49423969396123,387.5507284230037,11,66.53011557537334,0.0,38448.88081534963,21.9,5287.0,0.0151894252384303,0.6113152094048494,0.2659808963997061,590433.5280705416,0.0,160.85201992996147,13,43,83.24458952214125,104.14218981871136,252.76990009245583,366.31110276427125,1,3,108.60573825931333,5,16
7,3299.714285714286,81.374554499431,213.60032318516105,8,150.45659730141057,10559.804299332276,98771.14246573568,21.9,5287.0,0.0151894252384303,0.6113152094048494,0.2659808963997061,635691.6874691003,0.0,322.44589570921124,9,43,193.4073315736491,206.85062582736472,299.37622405407114,524.309429453636,0,2,209.24489165073092,4,11
19,322.94736842105266,47.05766227566516,94.6761625061729,11,82.42753006610641,20855.89891136785,129319.80393607248,37.0,155363.0,0.0033894293096951,0.0,0.0408970976253298,0.0,1929.1525123216827,1576.0813726432516,14,42,23.28021442724355,25.81118479879051,222.13317313266296,289.50703887446383,1,6,109.14805418272438,5,18
11,613.0909090909091,62.235763197099416,70.55469502702341,15,76.44490060905738,27909.501295799502,133999.99417859525,42.2,195117.0,0.0136658727675238,0.0,0.0589900896649362,0.0,1773.9724780685362,1574.627974087161,14,49,14.248145488416508,26.90158438096487,237.8113375680744,332.1249211414318,1,7,25.86855898403432,5,22
11,671.0,91.92951628850572,76.807462566535,11,139.39281423210787,27036.287530879352,140762.36774684404,38.0,159952.0,0.0107714019524436,0.0,0.0102367242482405,0.0,1755.1991815077452,1698.8774076509008,14,42,25.79368493991709,45.84848708943581,231.8047565465509,257.8503923958247,2,5,177.9432291513234,5,20
15,360.3333333333333,52.218644147716965,331.13785806796835,9,113.86969553883152,0.0,41776.37014373588,31.6,220134.0,0.0073348901623992,0.0,0.0,0.0,1681.6823902650624,1274.97166498438,18,56,28.823709359544043,35.064971218485795,236.06402747435908,268.5408793107644,2,8,200.22481919831336,4,28
15,436.73333333333335,47.59135312577303,79.4333832827638,10,60.39226313906522,8852.099303922974,128818.39861759447,38.0,159952.0,0.0107714019524436,0.0,0.0102367242482405,0.0,1609.054963168832,1763.141600186627,11,35,58.357670122584,67.27763592981356,231.8047565465509,275.01039552444263,2,5,90.37841539570596,6,17
15,251.7333333333333,77.73717502860568,265.89715306454906,17,89.03993888013356,83.30886690698222,116899.10321081446,32.1,183017.0,0.0006441329651567,0.0,0.0709010339734121,0.0,1570.023371303946,2333.351920834809,5,15,35.794532940186215,38.132738705403305,492.3625727001722,793.6086180211211,0,1,27.388827881796036,4,6
17,466.4117647058824,118.82491710402904,378.92529061435886,5,150.60017265433396,0.0,20873.08362978396,37.1,130194.0,0.0011550061296521,0.0167364016736401,0.0167364016736401,0.0,1449.3245460618812,1041.863431205392,17,65,10.061227759567837,30.319557570503328,175.40312959693526,215.9673919625171,3,7,120.4077531646328,5,27
7,259.42857142857144,148.18274426434337,182.3063153461836,9,168.0522973784939,6369.3171992272455,20452.19239479804,37.1,130194.0,0.0011550061296521,0.0167364016736401,0.0167364016736401,0.0,1442.8870131647698,1126.9720776939832,18,66,38.199669890169375,49.21034798712149,183.7985118635596,240.7202827292949,2,7,38.800234753911454,15,27
15,152.4,119.29222107155611,72.12650498737928,7,149.73433335452702,16632.458014532283,70464.46391829345,37.1,130194.0,0.0011550061296521,0.0167364016736401,0.0167364016736401,0.0,1431.4197594519876,1439.796460854253,14,52,13.136706391567742,19.65008659240085,269.7277773756027,306.17682380594124,1,5,16.91015050702919,5,21
11,254.9090909090909,82.76251051598511,247.97124804503665,4,111.34797288623612,1180.20624818892,16524.021694086547,37.1,130194.0,0.0011550061296521,0.0167364016736401,0.0167364016736401,0.0,1276.3603117868188,871.0849384001461,18,59,15.109930297651438,21.96253364536828,175.40312959693526,240.013331498664,2,6,37.99485206370367,9,27
11,310.45454545454544,135.7599676272297,83.01415270173088,2,202.62258485148035,30047.98915234788,49690.6271448715,55.6,120469.0,0.0020135008783424,0.0,0.0613026819923371,0.0,1275.0851524296725,1484.0845135111445,9,49,62.32526414554676,87.55269463576087,269.7277773756027,369.23715812985375,1,3,104.01477220829324,5,17
15,262.6,286.772044595373,0.0,0,306.4200327139788,237201.4795975765,771472.1120251905,34.4,62031.0,0.0005373177797468,0.0287686996547756,0.0287686996547756,0.0,2515.3271841595506,3099.1149111806903,2,4,226.53868428029443,294.7685099019343,330.74651823298257,592.0106458356245,0,1,28.81335541158004,2,6
