id,Active Date,name,Districts,total Checkouts,total Docks,trips per dock,trips per dock/day,EBS STATION,Checkouts Rankings; per day >5=3; 2-5=2; <1=1 ,Co-locate to Transit (at transit =3; <1/4 mi = 2; >1/4 mi = 1),Access to Jobs (Major employment hubs)  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),Access to Households  (1/4 mi = 3; 1/2 mi = 2;  >1/2 = 1),Access to low income residents (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),"Access to Public amenities (libraries, schools, Rec Centers, parks)  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1)",Bikeable infrastructure (rider saftey)  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),Access to retail or entertainment  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),Access to existing Bikeshare footprint - 1/4 mi = 3; 1/2 mi = 2; >1/2 = 1,Total Score,name_clean,Kiosk ID,Kiosk Name,Kiosk Status,Location,Address,Alternate Name,City Asset Number,Property Type,Number of Docks,Power Type,Footprint Length,Footprint Width,Notes,Council District,Image,Modified Date,lat,lon,on_UT
69.0,2024-07-29,South Congress @ Bouldin Creek,9.0,2227.0,15,148.46666666666667,0.4124074074074074,,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,20.0,bouldin creek/congress,4048.0,South Congress @ Bouldin Creek,active,"(30.25495, -97.74755)",799 South Congress Avenue,,"32,746",undetermined_parking,13.0,solar,40.0,5.0,,9.0,,2021 Jan 04 12:00:00 AM,30.25495,-97.74755,0
70.0,2024-11-14,South Congress/Academy,9.0,1576.0,11,143.27272727272728,0.397979797979798,,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,19.0,academy/congress,2570.0,South Congress & Academy,active,"(30.25226, -97.74854)",1199 S. Congress Ave.,,"16,752",sidewalk,10.0,solar,20.0,7.5,on bulb-out,9.0,,2021 Jan 04 12:00:00 AM,30.25226,-97.74854,0
71.0,2024-07-25,South Congress/Barton Springs,9.0,2727.0,11,247.9090909090909,0.6886363636363636,,2.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,19.0,barton springs/congress,3513.0,South Congress & Barton Springs at the Austin American-Statesman,active,"(30.25839, -97.74592)",305 S. Congress Ave.,,"16,745",sidewalk,13.0,solar,40.0,5.0,,9.0,,2021 Jan 04 12:00:00 AM,30.25839,-97.74592,0
72.0,2024-07-29,South Congress/Elizabeth,9.0,1411.0,11,128.27272727272728,0.35631313131313136,,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,19.0,congress/elizabeth,2504.0,South Congress & Elizabeth,active,"(30.24891, -97.75019)",101 Elizabeth St. W,,"16,731",undetermined_parking,13.0,solar,40.0,5.0,,9.0,,2021 Jan 04 12:00:00 AM,30.24891,-97.75019,0
73.0,2024-08-02,South Congress/James,9.0,1130.0,7,161.42857142857142,0.4484126984126984,,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,19.0,congress/james,2503.0,South Congress & James,active,"(30.25103, -97.74926)",Presented by The Austin Chronicle,,"16,730",sidewalk,9.0,solar,26.0,7.5,on bulb-out,9.0,,2021 Jan 04 12:00:00 AM,30.25103,-97.74926,0
74.0,2024-07-24,South Congress/Mary,9.0,2120.0,11,192.72727272727272,0.5353535353535354,,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,19.0,congress/mary,0.0,South Congress/Mary,active,"(30.244961, -97.751272)",1901 South Congress Ave.,,0,undetermined_parking,11.0,solar,40.0,10.0,In the gutter,9.0,,2022 Mar 04 09:01:00 AM,30.244961,-97.751272,0
75.0,2024-07-24,Veterans/Atlanta @ MoPac Ped Bridge,9.0,3542.0,19,186.42105263157896,0.5178362573099415,,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,19.0,atlanta/veterans,,,,,,,,,,,,,,,,,30.274475,-97.769892,0
2.0,2024-11-14,W 11th/Congress @ The Texas Capitol,9.0,2179.0,11,198.0909090909091,0.5502525252525252,,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0,11/congress,2497.0,Capitol Station / Congress & 11th,active,"(30.2726, -97.74127)",1090 Congress Ave.,,"16,735",sidewalk,18.0,solar,25.0,7.5,double sided,1.0,,2021 Jan 04 12:00:00 AM,30.2726,-97.74127,0
29.0,2024-07-24,W 16th/San Antonio ,9.0,2803.0,11,254.8181818181818,0.7078282828282828,,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,17.0,16/san antonio,4879.0,16th/San Antonio,active,"(30.27924, -97.74371)",1601 San Antonio Street,,"16,739",paid_parking,12.0,solar,40.0,5.0,,9.0,,2021 Mar 12 01:15:00 PM,30.27924,-97.74371,0
7.0,2024-07-24,W 21st/Guadalupe,9.0,14534.0,11,1321.2727272727273,3.6702020202020202,,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,25.0,21/guadalupe,2547.0,Guadalupe & 21st,active,"(30.28395, -97.74198)",2100 Guadalupe St.,,"16,749",paid_parking,13.0,solar,40.0,5.0,in buffer area parking,9.0,,2021 Jan 04 12:00:00 AM,30.28395,-97.74198,1
