count,lat,lon
587,30.2113986,-97.7911147
443,30.2047319,-97.7976365
440,30.2032719,-97.7942807
835,30.2092503,-97.7845904
1067,30.2019092,-97.7889638
357,30.2084521,-97.7468474
824,30.1994992,-97.7560889
389,30.1967312,-97.7491454
472,30.1908591,-97.7471935
285,30.1855734,-97.7498856
686,30.191682,-97.7549155
282,30.1972215,-97.7422286
703,30.2007263,-97.7381872
148,30.1900923,-97.7430498
428,30.1954505,-97.7637023
878,30.1903837,-97.7644093
609,30.1863227,-97.7560125
1232,30.1906024,-97.7846019
1471,30.1823631,-97.7794163
1116,30.1802703,-97.7895912
743,30.1793742,-97.8054217
1168,30.1793845,-97.8124756
852,30.1803481,-97.799467
479,30.1905789,-97.8021281
1246,30.1947656,-97.7946389
0,30.1740721,-97.7480789
10,30.1699219,-97.7492264
735,30.1726739,-97.7631368
2899,30.1493366,-97.7108033
228,30.0975315,-97.7138586
725,30.0728551,-97.743328
384,30.1265807,-97.6818965
605,30.0910391,-97.6579099
909,30.1659019,-97.7948187
853,30.1579505,-97.7956163
1107,30.1713027,-97.7920763
1449,30.1572832,-97.8146341
1351,30.1678619,-97.8042256
585,30.1685821,-97.8137161
311,30.1636745,-97.7542523
773,30.1602671,-97.7401108
898,30.152448,-97.742918
1855,30.1448973,-97.748099
1594,30.1814813,-97.7698558
602,30.1839084,-97.7613455
305,30.1812544,-97.7552919
832,30.1769989,-97.7552475
857,30.203142,-97.7694308
924,30.1992212,-97.7731079
738,30.1947833,-97.7722404
496,30.2106314,-97.7759052
1239,30.2025119,-97.7798612
281,30.1967555,-97.7824419
941,30.1465875,-97.7913863
1087,30.1489035,-97.775613
1807,30.1198599,-97.7721386
939,30.1274335,-97.7891871
485,30.1941946,-97.7332525
443,30.2065646,-97.7271093
163,30.2112517,-97.6982295
1631,30.2016485,-97.6954345
1327,30.1829936,-97.7262826
1537,30.1666775,-97.6393221
1205,30.1566349,-97.6637092
1348,30.1373273,-97.6130311
2285,30.1674716,-97.77431
1804,30.1628795,-97.7822419
401,30.2021528,-97.6276635
562,30.185926,-97.6308751
181,30.1689898,-97.5836118
996,30.17158,-97.6156723
530,30.2033187,-97.5614109
415,30.4121817,-97.7610542
506,30.4210139,-97.7533129
918,30.4137029,-97.7558491
594,30.4127915,-97.7501389
410,30.4181218,-97.7541564
568,30.3713689,-97.7789431
210,30.3651822,-97.7659989
311,30.3638016,-97.7766819
792,30.3739993,-97.7660306
385,30.3819418,-97.7565299
694,30.3808946,-97.7615409
654,30.384552,-97.7480286
502,30.3740838,-97.7469222
497,30.3780879,-97.7426101
505,30.3706041,-97.7517894
1143,30.3657143,-97.7457102
784,30.2277107,-97.7961015
704,30.2205495,-97.8007793
545,30.2171861,-97.7934236
1181,30.2089285,-97.8105372
276,30.2086419,-97.8007751
803,30.2146481,-97.8058099
1661,30.3966919,-97.8043068
1008,30.3784637,-97.7894043
831,30.3696708,-97.7939719
429,30.3512928,-97.7557519
690,30.3544513,-97.762789
835,30.3466117,-97.7525795
512,30.3447796,-97.7589532
842,30.3475684,-97.7679433
772,30.3535137,-97.7779628
421,30.3459974,-97.7755599
667,30.3477574,-97.7867527
372,30.4079563,-97.7594158
1008,30.3924653,-97.7486693
305,30.4047325,-97.7537102
849,30.3994818,-97.7554046
511,30.1944885,-97.8162429
1054,30.1898798,-97.819908
327,30.2022141,-97.8159746
534,30.1994998,-97.81149
882,30.1947727,-97.8267855
