job_count,lat,lon
2,30.2896306,-97.73082
23312,30.2878069,-97.7321318
195,30.288755,-97.7276273
4337,30.2894544,-97.7255862
48,30.2886246,-97.726294
81,30.2875503,-97.7249059
1,30.288002,-97.7264138
46,30.2855591,-97.7265906
3,30.2893071,-97.7289517
78,30.2833921,-97.7324698
289,30.287726,-97.7078328
6,30.2877695,-97.7104993
5,30.2888344,-97.7110623
2,30.2906907,-97.7122991
4,30.2896507,-97.7131426
13,30.2871241,-97.7111736
3,30.2876639,-97.7153525
6,30.2871147,-97.713923
17,30.2869445,-97.7128042
8,30.2866578,-97.7118293
123,30.2855111,-97.7162088
2,30.2855468,-97.7068473
63,30.2834471,-97.706835
3,30.2846596,-97.7063564
2,30.2839531,-97.7059533
19,30.2837044,-97.7081415
4,30.2838977,-97.7092051
516,30.2848766,-97.7112166
2,30.2845736,-97.7131996
12,30.2844883,-97.7147144
1,30.283495,-97.71452
225,30.2827601,-97.7124142
11,30.2820824,-97.7105978
2,30.2842632,-97.7161864
39,30.2840407,-97.7175517
88,30.2838787,-97.7185335
83,30.2837146,-97.7195337
1,30.283548,-97.7205261
39,30.2833849,-97.7215187
4,30.2826411,-97.7253443
2,30.2827294,-97.7193138
21,30.2826496,-97.7158151
565,30.2814083,-97.7210581
1,30.2815643,-97.7200697
4,30.2818805,-97.7181117
44,30.280402,-97.7208347
159,30.2805634,-97.7198409
3,30.2807136,-97.7188646
132,30.2808644,-97.7178878
38,30.2802386,-97.7218211
151,30.3016415,-97.7368633
9,30.300903,-97.7373906
45,30.3005681,-97.7389284
133,30.2998659,-97.7374397
4,30.2993881,-97.7360512
81,30.30059,-97.7353284
20,30.3001983,-97.7344948
20,30.2985719,-97.7367758
9,30.2996573,-97.7390357
4,30.2989195,-97.7395034
1,30.2975309,-97.7364691
9,30.2980163,-97.7377684
4,30.2977331,-97.7396921
151,30.2970626,-97.7406883
2,30.2961025,-97.738132
13,30.2969258,-97.7374048
61,30.2997235,-97.7334747
4,30.2989828,-97.7319116
1,30.2983982,-97.7307386
17,30.2973182,-97.731439
1,30.2978729,-97.7326025
1,30.2983541,-97.7336237
4,30.297704,-97.7349817
2,30.2968669,-97.7332342
1,30.2963115,-97.7320568
2,30.2958689,-97.7338819
2,30.2963575,-97.7349045
5,30.2956539,-97.7362878
1,30.2950646,-97.7345547
1,30.2940378,-97.7344652
5,30.2944905,-97.7351797
12,30.2941848,-97.7363966
6,30.2937334,-97.7332844
36,30.2919646,-97.7350787
1,30.2971522,-97.7302066
1,30.2960698,-97.7280174
6,30.2936184,-97.7294954
9,30.2942605,-97.730831
8,30.2920066,-97.730248
5,30.2918328,-97.7329125
4,30.2910669,-97.7334063
41,30.2902696,-97.7337733
26,30.2957348,-97.7419764
2,30.2956705,-97.7410177
77,30.29385,-97.7414977
3,30.2948984,-97.742331
33,30.2944435,-97.7396322
42,30.2928757,-97.7394833
5,30.2931446,-97.7406316
13,30.2923805,-97.7377156
6,30.2936351,-97.7375194
24,30.2915324,-97.7394653
82,30.2908757,-97.7406988
107,30.2892535,-97.7408484
70,30.2862341,-97.7398937
7,30.2885099,-97.7379509
181,30.2853668,-97.7357368
68,30.2813647,-97.7350284
213,30.2843272,-97.7343064
82,30.2854212,-97.7406737
13,30.2842249,-97.7384757
18,30.2822611,-97.7386334
17,30.2831159,-97.7403077
362,30.2831902,-97.741395
18,30.2819358,-97.7404174
153,30.2974158,-97.7493778
244,30.2961059,-97.7480754
94,30.2958312,-97.7445163
3545,30.296118,-97.7455097
2,30.2963963,-97.7467413
79,30.2965232,-97.7472725
7,30.294471,-97.7445801
98,30.2920974,-97.7455828
325,30.2921034,-97.7447767
357,30.2904561,-97.7483657
4,30.289747,-97.7484114
85,30.2888754,-97.7485088
20,30.2889824,-97.7500327
503,30.2890589,-97.7516572
584,30.2940763,-97.746872
