id,name,district,total_docks,trips_per_dock,ebs_station,transit_nearby,nearest_transit_stop_dist_m,avg_dist_3_nearest_transit_stops_m,jobs_nearby,housing_nearby,job_housing_ratio_275m,low_income_access_score,amenities_nearby,avg_dist_3_nearest_amenities_m,park_area_nearby,nearest_park_dist_m,bike_infra_score,retail_nearby,avg_dist_3_nearest_retail_m,entertainment_nearby,avg_dist_3_nearest_entertainment_m,tourism_nearby,avg_dist_3_nearest_tourism_m,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_stations_dist_3_nearest_m,is_ut,nearest_dining_hall_dist_m,nearest_dorm_dist_m,nearest_dorm_pop,dorm_pop_within_500m,ut_x_dorm_pop_500m,ut_x_dining_dist,ut_x_transit,ut_x_housing,lat,lon
30,w_6th_west,9,15,152.4,0,4,12.57,128.81,4588.0,6786,0.6760978485116416,1.0,6,169.69,0,3406332.96,2.0,31,17.69,30,17.69,0,715.36,317.85,4.0,11.0,341.69,0,2222.83,1965.77,980.0,0.0,0.0,0.0,0,0,30.27041,-97.75046
1,e_10th_red_river,9,15,149.26666666666668,0,2,116.12,194.27,2934.0,1234,2.3776337115072934,1.0,3,130.29,0,3406587.26,2.0,14,73.2,11,84.85,1,366.52,231.82,4.0,13.0,323.92,0,1649.15,1490.29,130.0,0.0,0.0,0.0,0,0,30.27024,-97.73578
48,e_4th_chicon,3,19,141.73684210526315,0,3,48.69,99.11,214.0,4314,0.04960593416782568,2.0,8,92.12,0,3405684.21,2.0,5,193.85,4,242.98,0,920.36,62.38,2.0,5.0,313.47,0,3318.57,3016.63,900.0,0.0,0.0,0.0,0,0,30.25987,-97.72373
3,e_11th_salina,1,11,121.0909090909091,0,4,97.82,155.26,296.0,2655,0.11148775894538607,2.0,2,167.58,0,3406435.51,2.0,2,278.55,1,357.87,0,743.55,456.91,1.0,6.0,629.81,0,2745.27,2390.36,900.0,0.0,0.0,0.0,0,0,30.26638,-97.7214
61,one_texas_center,9,15,113.53333333333332,0,7,136.33,150.08,257.0,2648,0.09705438066465256,1.0,2,272.83,0,3404973.12,3.0,7,187.18,2,247.68,0,658.3,238.04,3.0,8.0,324.89,0,3536.76,3431.42,130.0,0.0,0.0,0.0,0,0,30.257653,-97.74898
67,rosewood_angelina,1,11,104.8181818181818,0,2,21.09,115.95,132.0,2460,0.05365853658536585,2.0,5,111.49,0,3406653.05,2.0,9,35.12,5,35.12,1,394.9,456.91,2.0,6.0,546.48,0,2291.84,1943.53,900.0,0.0,0.0,0.0,0,0,30.26888,-97.72431
4,e_11th_san_jacinto,9,11,100.54545454545456,0,3,44.63,136.32,8935.0,3309,2.7002115442731944,3.0,4,130.56,0,3406719.69,3.0,2,187.9,0,345.38,1,349.93,208.16,7.0,13.0,291.14,0,1440.08,1303.3,130.0,0.0,0.0,0.0,0,0,30.27193,-97.73854
5,e_12th_san_jacinto_state_cap_visitors_garage,9,11,99.36363636363636,0,4,146.57,156.28,1688.0,1697,0.99469652327637,2.0,2,196.78,0,3406898.55,2.0,3,197.21,1,357.15,1,470.55,177.74,4.0,13.0,252.55,0,1233.27,1095.19,130.0,0.0,0.0,0.0,0,0,30.273499,-97.738097
34,e_8th_trinity,9,15,95.66666666666669,0,6,23.59,66.49,21029.0,2494,8.431836407377707,1.0,2,228.5,0,3406393.61,3.0,40,158.55,36,158.55,1,318.88,253.5,6.0,15.0,328.85,0,1822.46,1682.33,130.0,0.0,0.0,0.0,0,0,30.26895625697814,-97.7386856328997
46,e_11th_waller,1,11,84.63636363636364,0,3,84.49,108.16,432.0,3556,0.12148481439820022,2.0,2,229.65,0,3406589.0,3.0,12,53.14,5,76.1,1,315.37,271.3,2.0,8.0,468.85,0,2032.15,1731.67,900.0,0.0,0.0,0.0,0,0,30.26899800040119,-97.72843433423913
