name,lat,lon,type
Los Campeones Gym Austin North,30.325584,-97.7076916,leisure_fitness_centre
Postmark'd,30.2028089,-97.8788648,amenity_post_office
,30.3410634,-97.7176049,leisure_fitness_centre
Texas Sleep Medicine,30.2271053,-97.7789495,amenity_clinic
Pure Pilates Austin,30.253113,-97.7636248,leisure_fitness_centre
Stretch Lab,30.2529514,-97.7637926,leisure_fitness_centre
SWEAT440,30.2624027,-97.7582659,leisure_fitness_centre
Avita Pharmacy,30.3220894,-97.7199263,amenity_pharmacy
Kind Clinic,30.3221288,-97.7201274,amenity_clinic
Castle Hill Fitness,30.2765791,-97.751918,leisure_fitness_centre
TonicMD Beauty & Medspa,30.2619275,-97.7269242,amenity_clinic
Library Box,30.2718597,-97.7746477,amenity_library
The UPS Store,30.2079828,-97.8158262,amenity_post_office
,30.3965111,-97.63034,leisure_pitch
,30.3967064,-97.6307841,leisure_pitch
,30.3966602,-97.6306679,leisure_pitch
,30.3966863,-97.630729,leisure_pitch
,30.3966396,-97.6306142,leisure_pitch
Westlake Fire Dpt. Basket Ball Court,30.2795532,-97.8197623,leisure_pitch
Perry-Castañeda Library Map Collection,30.2828335,-97.7385054,amenity_library
The UPS Store,30.3425588,-97.9705806,amenity_post_office
Stonehenge Weightlifting,30.4612912,-97.8323565,leisure_fitness_centre
1UP Sports Performance,30.4617726,-97.8335881,leisure_fitness_centre
CrossFit,30.4584177,-97.830471,leisure_fitness_centre
Planet Fitness,30.2087806,-97.8163249,leisure_fitness_centre
Oak Hill Community Center,30.2514202,-97.8937799,amenity_community_centre
Central Texas Archery,30.1434341,-97.8476916,leisure_pitch
Austin Archery Club,30.353718,-97.8330449,leisure_pitch
UT Archery Club Outdoor Range,30.3123763,-97.7260466,leisure_pitch
Travis County Sheriff's Office,30.3984884,-97.929583,amenity_police
,30.3912121,-97.8851101,amenity_hospital
Victory Medical,30.2804577,-97.8085483,amenity_clinic
,30.2797602,-97.814593,leisure_swimming_pool
,30.2823396,-97.8170869,leisure_swimming_pool
,30.2839065,-97.8195922,leisure_swimming_pool
,30.2859931,-97.8231539,leisure_swimming_pool
,30.2970027,-97.6743295,leisure_sports_centre
Bishops Hall,30.2711088,-97.7395784,amenity_community_centre
Yoga Hom,30.2658766,-97.7438805,leisure_fitness_centre
The UPS Store,30.4052462,-97.8514037,amenity_post_office
Club Pilates,30.2639097,-97.7325762,leisure_fitness_centre
Padel Club Austin,30.217256,-97.7596498,leisure_pitch
Lifetime Fitness,30.2696294,-97.7539561,leisure_fitness_centre
Lakeway Police Dispatch Center/911 Call Center,30.3446496,-97.9734409,amenity_police
Grit ATX,30.2524785,-97.7024594,leisure_fitness_centre
,30.2685596,-97.7155716,leisure_pitch
Whitaker Intramural Fields,30.3145289,-97.72790566294708,leisure_sports_centre
Delwood Baseball 1,30.303864,-97.69474764559091,leisure_pitch
,30.189791749999998,-97.85762423239923,leisure_track
Yellow Jacket Stadium,30.27008935,-97.70977604279724,leisure_track
,30.1899521,-97.74479280867021,leisure_track
,30.2420986,-97.58996504936408,leisure_track
,30.4449771,-97.63457713953102,leisure_track
,30.21653635,-97.89034624173769,leisure_track
Pflugerville Police Department,30.450411,-97.60825090594646,amenity_police
,30.4217027,-97.67474977353203,leisure_track
,30.45046595,-97.7307098220389,leisure_track
,30.19225255,-97.71239722329454,leisure_track
,30.25252775,-97.73086944427271,leisure_track
,30.244404,-97.75066316325203,leisure_track
,30.2306728,-97.74476491776599,leisure_track
,30.27006875,-97.72194576433387,leisure_track
,30.230574400000002,-97.80929527356794,leisure_track
,30.212637700000002,-97.7955661510149,leisure_track
,30.19513395,-97.7879484022126,leisure_track
,30.328526,-97.72995544948036,leisure_track
,30.33598555,-97.73991140925291,leisure_track
,30.25288365,-97.7527810507707,leisure_track
,30.3748657,-97.75175336276419,leisure_track
,30.27187625,-97.76621745362343,leisure_track
,30.1491081,-97.79834898037306,leisure_track
,30.1651888,-97.81192868115865,leisure_track
,30.26068505,-97.67982275281466,leisure_track
,30.177603650000002,-97.61187134146063,leisure_track
,30.3317191,-97.70708557124692,leisure_track
,30.3243626,-97.68858572712249,leisure_track
,30.32288175,-97.69224040800162,leisure_track
,30.3657327,-97.72543155257081,leisure_track
,30.3550106,-97.6792645821424,leisure_track
,30.35910835,-97.70586926812994,leisure_track
UT Track,30.282582599999998,-97.73052169610456,leisure_track
,30.456430949999998,-97.54889270753372,leisure_track
,30.46291345,-97.5915745879445,leisure_track
,30.399711850000003,-97.64326741404425,leisure_track
,30.396426650000002,-97.82799562389096,leisure_track
,30.398855400000002,-97.82955765577924,leisure_track
Alliance Physical Culture - Private Gym in South Austin,30.206346699999997,-97.80765205085196,leisure_fitness_centre
,30.272003050000002,-97.80305663601354,leisure_track
,30.31723975,-97.73759793124475,leisure_pitch
,30.2898934,-97.87523135491965,leisure_track
,30.2918509,-97.87536984153986,leisure_track
,30.28683445,-97.7742148049685,leisure_track
,30.4703456,-97.84213647179308,leisure_track
,30.15736995,-97.79943979610329,leisure_swimming_pool
,30.312421899999997,-97.62265498620035,leisure_track
,30.3114332,-97.6416670634902,leisure_track
,30.3105655,-97.65483888814904,leisure_track
,30.21089575,-97.87748098945036,leisure_track
,30.310221,-98.00026013835003,leisure_track
,30.1813992,-97.79285888330853,leisure_track
,30.355494399999998,-97.76107735450299,leisure_track
,30.23243445,-97.84201046052232,leisure_track
Barton Springs Bathhouse,30.264077399999998,-97.77124414954633,amenity_public_bath
West Ridge Middle School Track,30.30355885,-97.8859086259819,leisure_track
,30.205444200000002,-97.78763996335402,leisure_track
,30.1538945,-97.85086574101337,leisure_track
,30.43880315,-97.97722549622009,leisure_track
,30.461249799999997,-97.59665775150066,leisure_swimming_pool
,30.2012884,-97.75662955416948,leisure_track
,30.4199491,-97.71780452599128,leisure_track
,30.427161849999997,-97.78600895262946,leisure_track
,30.41602855,-97.7415342329082,leisure_track
Kelly Lane MS Track,30.46273725,-97.58754385025958,leisure_track
,30.2373773,-97.68875297461813,leisure_swimming_pool
,30.3811689,-97.52832002203886,leisure_track
,30.42871305,-97.61248826231724,leisure_track
,30.1652037,-97.872700193626,leisure_track
,30.3526106,-97.73046387666717,leisure_track
,30.3580604,-97.56514987491585,leisure_track
,30.29550775,-97.69372383623828,leisure_track
,30.4487412,-97.57928225175853,leisure_track
